,nh05,nh95,sh05,sh95,na05,na95,ep05,ep95,wp05,wp95,ni05,ni95,si05,si95,sp05,sp95
1980,164.9,281.97499999999997,223.5,237.0,177.05,210.625,190.325,249.95,162.8,290.6375,,,237.75,237.75,222.75,222.75
1981,161.525,281.97499999999997,154.15,233.35,177.475,213.7,215.85,217.65,160.9625,288.16249999999997,77.25,77.25,154.15,233.35,,
1982,158.775,280.35,154.15,233.35,211.15,213.85,129.5625,243.125,160.875,286.4375,77.25,77.25,154.15,233.35,,
1983,135.25,276.625,119.825,212.29999999999998,209.25,213.75,125.0625,241.625,161.4,282.15,77.25,77.25,118.1625,148.0875,219.25,219.25
1984,134.875,277.78749999999997,134.4,219.25,209.6125,220.6375,126.6875,240.875,161.9875,286.275,,,120.975,201.525,212.95,219.25
1985,134.375,287.2,130.5,219.25,209.6125,220.6375,135.125,232.98749999999998,119.2875,293.0125,,,122.1,202.65,212.95,219.25
1986,141.45,289.025,177.525,218.2,221.25,221.25,155.6375,241.75,124.1125,303.3125,,,174.175,204.325,212.6,218.9
1987,142.575,287.2125,150.925,209.475,211.975,246.4,158.925,242.25,133.76250000000002,295.56249999999994,,,168.0,211.65,148.0,148.0
1988,147.5625,298.5875,152.4625,242.6875,203.0,243.54999999999998,169.3125,233.1875,145.5,312.75,265.75,265.75,162.1,242.6,151.45,225.7
1989,140.25,295.66249999999997,137.375,239.875,203.0,243.54999999999998,161.6125,239.67499999999998,122.725,306.9,90.475,256.525,136.95,239.27499999999998,151.6375,223.29999999999998
1990,113.85000000000001,293.73749999999995,113.6875,240.81249999999997,201.25,210.925,174.825,239.67499999999998,89.65,304.325,73.375,247.29999999999998,135.25,240.9375,113.3875,223.29999999999998
1991,131.625,284.25,108.85,238.925,190.4375,202.8125,142.15,236.59999999999997,129.75,284.25,73.375,258.325,117.9,240.3,105.2,204.05
1992,131.775,278.95,109.3,238.65,190.4375,202.8125,144.625,228.125,128.775,283.4625,82.775,267.72499999999997,131.1625,240.575,106.3,219.39999999999998
1993,135.25,278.75,113.7,237.825,189.75,189.75,147.1,227.75,134.875,292.125,85.3875,267.8625,137.3125,240.025,121.4375,218.42499999999998
1994,144.25,261.25,120.85,233.675,180.0,227.475,140.1,218.0,145.15,292.97499999999997,75.25,75.25,122.75,234.05,136.15,219.0
1995,142.05,261.875,101.15,239.4,180.45,226.4,132.45,219.5,145.6,266.25,84.7,254.79999999999998,100.55,239.8,142.4625,191.2875
1996,113.17500000000001,258.95,93.6875,256.6875,180.45,226.4,133.725,226.29999999999998,93.30000000000001,265.7,100.85,255.64999999999998,91.55,239.6,148.5,291.15
1997,109.2,260.29999999999995,94.4,253.74999999999994,194.0625,247.27499999999998,140.05,226.29999999999998,90.65,266.59999999999997,100.85,255.64999999999998,90.8375,239.8,142.25,281.54999999999995
1998,123.35,265.0,104.5625,250.6875,189.125,268.15,140.05,226.29999999999998,101.625,270.125,107.325,253.575,95.9375,231.075,142.25,276.75
1999,126.85,251.49999999999997,119.0,245.125,189.75,265.95,126.85,185.8,111.625,243.0,243.5875,254.1625,118.1,245.65,142.275,152.85
2000,106.85000000000001,273.29999999999995,118.1,245.65,189.75,269.35,105.6375,214.61249999999998,114.4125,286.625,243.5875,254.1625,117.8,245.825,154.0,154.0
2001,89.0,278.59999999999997,133.85,245.65,226.25,256.0,109.275,242.075,83.75,295.25,,,133.85,245.65,,
2002,82.45,287.72499999999997,139.05,217.79999999999995,199.75,256.0,116.3125,243.5625,64.025,293.6375,,,148.55,221.0,138.375,204.08749999999998
2003,63.724999999999994,283.2625,140.3,224.6,185.15,225.775,166.8125,241.0,56.5,287.125,,,164.5375,226.6,135.2,202.45
2004,70.95,272.38750000000005,130.125,231.52499999999998,146.75,231.875,200.65,214.15,62.825,280.78749999999997,,,131.5875,233.8875,136.9,204.6
2005,88.5,274.5,99.6375,238.3875,145.9,234.6,164.5625,213.625,76.72500000000001,281.8875,71.5,71.5,99.375,230.375,151.6,240.075
2006,92.675,257.0875,94.5,238.3875,145.05,237.325,160.2,210.7,89.375,264.4375,75.2,255.42499999999998,99.375,230.375,100.5,240.075
2007,91.3,266.9,88.5,233.6,188.875,260.6875,160.2,227.7,88.275,266.8875,72.2125,247.26249999999993,112.375,222.25,83.675,247.025
2008,89.45,255.6375,97.375,209.25,184.85,259.525,172.2,242.55,84.1625,248.53750000000002,79.475,255.42499999999998,138.45,209.55,75.7375,197.0125
2009,91.0625,262.125,122.15,210.5,187.65,257.2,137.4,242.55,82.1375,263.97499999999997,79.275,234.29999999999998,119.6,199.65,177.1875,211.0625
2010,107.3625,265.47499999999997,122.15,210.5,186.8,223.04999999999998,120.0,265.4,93.875,261.125,113.6,241.4,117.6875,184.375,165.35,210.875
2011,117.1,269.29999999999995,122.15,210.5,194.125,223.875,118.5,261.57499999999993,116.125,263.4375,113.6,241.4,117.6875,186.0,165.35,210.875
2012,117.4875,272.74999999999994,87.25,185.125,203.3,226.7,121.8125,264.5625,122.8625,263.7125,237.5,237.5,73.5,178.0,131.05,186.3
2013,119.3875,291.3375,101.0,229.25,242.5,242.5,103.9,224.77499999999998,141.45,291.6375,237.5,252.8,90.0,222.7875,126.7875,228.34999999999997
2014,92.65,288.28749999999997,109.25,239.47499999999997,230.15,241.85,103.5625,257.9375,85.925,296.5,237.5,255.9875,95.5,242.1375,128.05,231.85
2015,96.7,292.99999999999994,127.225,247.12499999999997,228.225,242.1625,105.25,253.0,86.575,306.4,239.2,256.075,127.15,250.49999999999997,147.3125,230.4375
2016,96.5875,280.8875,149.1,259.575,194.225,237.025,107.25,259.04999999999995,84.625,295.25,256.25,256.25,156.8,252.75,157.1875,254.625
2017,122.25,249.9375,157.3125,254.54999999999998,194.7625,239.025,115.3,249.2,141.25,250.5,,,171.75,242.54999999999998,153.65,256.7
2018,112.85,261.525,126.875,255.4375,193.3625,232.6375,114.95,235.64999999999998,40.75,273.35,84.375,244.125,126.5,241.59999999999997,184.575,260.85
2019,113.375,272.3125,120.45,240.54999999999998,194.9,269.1,115.125,234.75,42.5,272.5,77.2,236.95,119.15,235.8875,182.95,231.55
2020,114.05000000000001,289.575,119.0,239.64999999999998,193.6,269.1,142.075,223.0375,52.550000000000004,291.73749999999995,77.675,228.92499999999995,119.15,235.8875,129.95,230.975
2021,148.05,283.65,116.0,229.15,193.6,269.1,147.7625,241.92499999999998,135.575,295.7125,90.125,92.375,126.625,217.75,129.95,230.975
2022,127.05000000000001,266.6499999999999,124.8875,233.35,194.125,224.0625,148.9125,249.875,87.45,293.72499999999997,87.15,89.85,144.55,235.29999999999998,129.8,201.35
2023,144.9,265.90000000000003,98.25,237.25,157.1125,233.4375,159.6375,251.475,153.0,272.0,87.0,87.0,146.5,238.0,73.5,191.39999999999998
